frame,ego_.x_,ego_.y_,ego_.length_,ego_.width_,ego_.speed_,ego_.speed_x_,ego_.speed_y_,ego_.acc_,ego_.init_q_,ego_.lane_posi_,ego_.absolute_theta_,ego_.relative_theta_
0,6037.91,-2491.33,4.394,1.808,-0,0,0,-0,4.01,4,0.000797682,-4.42104e-11
1,6037.91,-2491.33,4.394,1.808,-0,0,0,-0,4.01,4,0.000797682,2.48539e-08
2,6037.91,-2491.33,4.394,1.808,-0,0,0,-0,4.01,4,0.000797682,2.48539e-08
3,6037.91,-2491.13,4.394,1.808,-12.0333,-1.61319e-05,12.0333,-4,4.01,4,0.000797682,2.48539e-08
4,6037.91,-2490.92,4.394,1.808,-12.1,-1.61339e-05,12.1,-4,4.01,4,0.000797682,2.48539e-08
5,6037.91,-2490.72,4.394,1.808,-12.1167,-1.6023e-05,12.1167,2.00003,4.01,4,0.000797682,2.48539e-08
6,6037.91,-2490.52,4.394,1.808,-12.0985,-1.58906e-05,12.0985,0.179883,4.01,4,0.000797682,2.48539e-08
7,6037.91,-2490.32,4.394,1.808,-12.0953,-1.57781e-05,12.0953,0.209452,4.01,4,0.000797682,2.48539e-08
8,6037.91,-2490.12,4.394,1.808,-12.092,-1.56658e-05,12.092,0.177903,4.01,4,0.000797682,2.48539e-08
9,6037.91,-2489.92,4.394,1.808,-12.0891,-1.55554e-05,12.0891,0.17248,4.01,4,0.000797682,2.48539e-08
10,6037.91,-2489.71,4.394,1.808,-12.0863,-1.54466e-05,12.0863,0.167069,4.01,4,0.000797563,-9.43554e-08
11,6037.91,-2489.51,4.394,1.808,-12.0835,-1.53397e-05,12.0835,0.162185,4.01,4,0.000797563,-9.43554e-08
12,6037.91,-2489.31,4.394,1.808,-12.0809,-1.54807e-05,12.0809,0.157446,4.01,4,0.000797563,-9.43554e-08
13,6037.91,-2489.11,4.394,1.808,-12.0783,-1.55012e-05,12.0783,0.152846,4.01,4,0.000797563,-9.43554e-08
14,6037.91,-2488.91,4.394,1.808,-12.0758,-1.55232e-05,12.0758,0.148373,4.01,4,0.000797563,-9.43554e-08
15,6037.91,-2488.71,4.394,1.808,-12.0733,-1.55467e-05,12.0733,0.144027,4.01,4,0.000797563,-9.43554e-08
16,6037.91,-2488.51,4.394,1.808,-12.071,-1.55718e-05,12.071,0.139801,4.01,4,0.000797563,-9.43554e-08
17,6037.91,-2488.31,4.394,1.808,-12.0687,-1.55983e-05,12.0687,0.135695,4.01,4,0.000797563,-9.43554e-08
18,6037.91,-2488.1,4.394,1.808,-12.0665,-1.56262e-05,12.0665,0.131703,4.01,4,0.000797563,-9.43554e-08
19,6037.91,-2487.9,4.394,1.808,-12.0643,-1.56553e-05,12.0643,0.127825,4.01,4,0.000797563,-9.43554e-08
20,6037.91,-2487.7,4.394,1.808,-12.0622,-1.56856e-05,12.0622,0.124055,4.01,4,0.000797682,2.48539e-08
21,6037.91,-2487.5,4.394,1.808,-12.0602,-1.57171e-05,12.0602,0.120393,4.01,4,0.000797682,2.48539e-08
22,6037.91,-2487.3,4.394,1.808,-12.0582,-1.55041e-05,12.0582,0.116834,4.01,4,0.000797563,-9.43554e-08
23,6037.91,-2487.1,4.394,1.808,-12.0563,-1.54147e-05,12.0563,0.113377,4.01,4,0.000797563,-9.43554e-08
24,6037.91,-2486.9,4.394,1.808,-12.0544,-1.55729e-05,12.0544,0.110019,4.01,4,0.000797563,-9.43554e-08
25,6037.91,-2486.7,4.394,1.808,-12.0526,-1.56105e-05,12.0526,0.106755,4.01,4,0.000797563,-9.43554e-08
26,6037.91,-2486.5,4.394,1.808,-12.0508,-1.56489e-05,12.0508,0.103586,4.01,4,0.000797563,-9.43554e-08
27,6037.91,-2486.3,4.394,1.808,-12.0491,-1.56886e-05,12.0491,0.100508,4.01,4,0.000797682,2.48539e-08
28,6037.91,-2486.09,4.394,1.808,-12.0475,-1.57292e-05,12.0475,0.0975184,4.01,4,0.000797682,2.48539e-08
29,6037.91,-2485.89,4.394,1.808,-12.0459,-1.55255e-05,12.0459,0.0946153,4.01,4,0.000797682,2.48539e-08
30,6037.91,-2485.69,4.394,1.808,-12.0443,-1.54451e-05,12.0443,0.0917958,4.01,4,0.000797563,-9.43554e-08
31,6037.91,-2485.49,4.394,1.808,-12.0428,-1.53669e-05,12.0428,0.0890568,4.01,4,0.000797563,-9.43554e-08
32,6037.91,-2485.29,4.394,1.808,-12.0414,-1.55358e-05,12.0414,0.0863971,4.01,4,0.000797563,-9.43554e-08
33,6037.91,-2485.09,4.394,1.808,-12.0399,-1.55842e-05,12.0399,0.0838151,4.01,4,0.000797563,-9.43554e-08
34,6037.91,-2484.89,4.394,1.808,-12.0386,-1.56335e-05,12.0386,0.0813077,4.01,4,0.000797563,-9.43554e-08
35,6037.91,-2484.69,4.394,1.808,-12.0372,-1.5684e-05,12.0372,0.0788734,4.01,4,0.000797682,2.48539e-08
36,6037.91,-2484.49,4.394,1.808,-12.0359,-1.57354e-05,12.0359,0.0765092,4.01,4,0.000797682,2.48539e-08
37,6037.91,-2484.29,4.394,1.808,-12.0347,-1.55425e-05,12.0347,0.0742135,4.01,4,0.000797682,2.48539e-08
38,6037.91,-2484.09,4.394,1.808,-12.0335,-1.54728e-05,12.0335,0.0719848,4.01,4,0.000797563,-9.43554e-08
39,6037.91,-2483.89,4.394,1.808,-12.0323,-1.54051e-05,12.0323,0.0698217,4.01,4,0.000797563,-9.43554e-08
40,6037.91,-2483.69,4.394,1.808,-12.0311,-1.55843e-05,12.0311,0.0677209,4.01,4,0.000797563,-9.43554e-08
41,6037.91,-2483.49,4.394,1.808,-12.03,-1.56428e-05,12.03,0.0656827,4.01,4,0.000797682,2.48539e-08
42,6037.91,-2483.29,4.394,1.808,-12.0289,-1.5702e-05,12.0289,0.0637038,4.01,4,0.000797682,2.48539e-08
43,6037.91,-2483.09,4.394,1.808,-12.0279,-1.55171e-05,12.0279,0.0617827,4.01,4,0.000797563,-9.43554e-08
44,6037.91,-2482.88,4.394,1.808,-12.0269,-1.54554e-05,12.0269,0.0599178,4.01,4,0.000797563,-9.43554e-08
45,6037.91,-2482.68,4.394,1.808,-12.0259,-1.56407e-05,12.0259,0.0581076,4.01,4,0.000797563,-9.43554e-08
46,6037.91,-2482.48,4.394,1.808,-12.0249,-1.57052e-05,12.0249,0.0563523,4.01,4,0.000797682,2.48539e-08
47,6037.91,-2482.28,4.394,1.808,-12.024,-1.57702e-05,12.024,0.0546485,4.01,4,0.000797682,2.48539e-08
48,6037.91,-2482.08,4.394,1.808,-12.0231,-1.55909e-05,12.0231,0.0529947,4.01,4,0.000797682,2.48539e-08
49,6037.91,-2481.88,4.394,1.808,-12.0223,-1.55345e-05,12.0223,0.0513894,4.01,4,0.000797682,2.48539e-08
50,6037.91,-2481.68,4.394,1.808,-12.0214,-1.54799e-05,12.0214,0.0498308,4.01,4,0.000797563,-9.43554e-08
51,6037.91,-2481.48,4.394,1.808,-12.0206,-1.54267e-05,12.0206,0.0483193,4.01,4,0.000797563,-9.43554e-08
52,6037.91,-2481.28,4.394,1.808,-12.0198,-1.56203e-05,12.0198,0.0468531,4.01,4,0.000797563,-9.43554e-08
53,6037.91,-2481.08,4.394,1.808,-12.019,-1.5693e-05,12.019,0.0454289,4.01,4,0.000797682,2.48539e-08
54,6037.91,-2480.88,4.394,1.808,-12.0183,-1.57663e-05,12.0183,0.0440469,4.01,4,0.000797682,2.48539e-08
55,6037.91,-2480.68,4.394,1.808,-12.0176,-1.55953e-05,12.0176,0.0427072,4.01,4,0.000797682,2.48539e-08
56,6037.91,-2480.48,4.394,1.808,-12.0169,-1.55472e-05,12.0169,0.0414064,4.01,4,0.000797682,2.48539e-08
57,6037.91,-2480.28,4.394,1.808,-12.0162,-1.55007e-05,12.0162,0.0401447,4.01,4,0.000797563,-9.43554e-08
58,6037.91,-2480.08,4.394,1.808,-12.0155,-1.54556e-05,12.0155,0.0389203,4.01,4,0.000797563,-9.43554e-08
59,6037.91,-2479.88,4.394,1.808,-12.0149,-1.5657e-05,12.0149,0.0377317,4.01,4,0.000797682,2.48539e-08
60,6037.91,-2479.68,4.394,1.808,-12.0143,-1.57376e-05,12.0143,0.0365789,4.01,4,0.000797682,2.48539e-08
61,6037.91,-2479.48,4.394,1.808,-12.0137,-1.55736e-05,12.0137,0.0354603,4.01,4,0.000797682,2.48539e-08
62,6037.91,-2479.28,4.394,1.808,-12.0131,-1.55326e-05,12.0131,0.0343761,4.01,4,0.000797682,2.48539e-08
63,6037.91,-2479.08,4.394,1.808,-12.0125,-1.54932e-05,12.0125,0.0333244,4.01,4,0.000797563,-9.43554e-08
64,6037.91,-2478.88,4.394,1.808,-12.012,-1.54552e-05,12.012,0.0323038,4.01,4,0.000797563,-9.43554e-08
65,6037.91,-2478.68,4.394,1.808,-12.0114,-1.56637e-05,12.0114,0.0313125,4.01,4,0.000797682,2.48539e-08
66,6037.91,-2478.48,4.394,1.808,-12.0109,-1.57513e-05,12.0109,0.0303523,4.01,4,0.000797682,2.48539e-08
67,6037.91,-2478.28,4.394,1.808,-12.0104,-1.55944e-05,12.0104,0.0294199,4.01,4,0.000797682,2.48539e-08
68,6037.91,-2478.08,4.394,1.808,-12.0099,-1.55602e-05,12.0099,0.0285153,4.01,4,0.000797682,2.48539e-08
69,6037.91,-2477.88,4.394,1.808,-12.0095,-1.55277e-05,12.0095,0.0276386,4.01,4,0.000797682,2.48539e-08
70,6037.91,-2477.68,4.394,1.808,-12.009,-1.54964e-05,12.009,0.026788,4.01,4,0.000797563,-9.43554e-08
71,6037.91,-2477.48,4.394,1.808,-12.0086,-1.54665e-05,12.0086,0.025962,4.01,4,0.000797563,-9.43554e-08
72,6037.91,-2477.28,4.394,1.808,-12.0082,-1.5683e-05,12.0082,0.0251605,4.01,4,0.000797682,2.48539e-08
73,6037.91,-2477.08,4.394,1.808,-12.0077,-1.57786e-05,12.0077,0.0243837,4.01,4,0.000797682,2.48539e-08
74,6037.91,-2476.88,4.394,1.808,-12.0073,-1.56295e-05,12.0073,0.0236298,4.01,4,0.000797682,2.48539e-08
75,6037.91,-2476.68,4.394,1.808,-12.007,-1.56032e-05,12.007,0.0228989,4.01,4,0.000797682,2.48539e-08
76,6037.91,-2476.48,4.394,1.808,-12.0066,-1.55783e-05,12.0066,0.0221893,4.01,4,0.000797682,2.48539e-08
77,6037.91,-2476.28,4.394,1.808,-12.0062,-1.55545e-05,12.0062,0.0215011,4.01,4,0.000797682,2.48539e-08
78,6037.91,-2476.08,4.394,1.808,-12.0059,-1.55319e-05,12.0059,0.0208343,4.01,4,0.000797682,2.48539e-08
79,6037.91,-2475.88,4.394,1.808,-12.0055,-1.55105e-05,12.0055,0.0201871,4.01,4,0.000797563,-9.43554e-08
80,6037.91,-2475.68,4.394,1.808,-12.0052,-1.54906e-05,12.0052,0.0195598,4.01,4,0.000797563,-9.43554e-08
81,6037.91,-2475.48,4.394,1.808,-12.0049,-1.57168e-05,12.0049,0.0189522,4.01,4,0.000797682,2.48539e-08
82,6037.91,-2475.28,4.394,1.808,-12.0046,-1.58221e-05,12.0046,0.0183627,4.01,4,0.000797682,2.48539e-08
83,6037.91,-2475.08,4.394,1.808,-12.0043,-1.56825e-05,12.0043,0.0177896,4.01,4,0.000797682,2.48539e-08
84,6037.91,-2474.88,4.394,1.808,-12.004,-1.56656e-05,12.004,0.0172347,4.01,4,0.000797682,2.48539e-08
